"sample_name","sampleID_16S","dataType"
"BART_004-O-20140619","BART.004.21.11.0.O.20140619","16S"
"BART_004-O-20140619","BART.004.O.27.36.20140619","16S"
"BART_004-O-20140619","BART.004.O.30.3.20140619","16S"
"BART_004-O-20140619",NA,"MG"
"CPER_001-M-20130701","CPER.001.M.22.2.20130701","16S"
"CPER_001-M-20130701","CPER.001.M.25.38.20130701","16S"
"CPER_001-M-20130701","CPER.001.M.9.26.20130701","16S"
"CPER_001-M-20130701","Composite","MG"
"CPER_001-M-20131024","CPER.001.M.27.6.20131024","16S"
"CPER_001-M-20131024","CPER.001.M.38.38.20131024","16S"
"CPER_001-M-20131024","CPER.001.M.9.33.20131024","16S"
"CPER_001-M-20131024","Composite","MG"
"CPER_001-M-20140116","CPER.001.M.20.7.20140116","16S"
"CPER_001-M-20140116","CPER.001.M.2.15.20140116","16S"
"CPER_001-M-20140116","CPER.001.M.26.39.20140116","16S"
"CPER_001-M-20140116","Composite","MG"
"CPER_001-M-20140415","CPER.001.M.33.14.20140415","16S"
"CPER_001-M-20140415","CPER.001.M.36.23.20140415","16S"
"CPER_001-M-20140415","CPER.001.M.6.12.20140415","16S"
"CPER_001-M-20140415","Composite","MG"
"CPER_001-M-20140715","CPER.001.21.M.1.6.20140715","16S"
"CPER_001-M-20140715","CPER.001.21.M.7.5.20140715","16S"
"CPER_001-M-20140715","CPER.001.21.M.9.17.20140715","16S"
"CPER_001-M-20140715","Composite","MG"
"CPER_001-M-20140116","CPER.001.M.20.7.20140116","16S"
"CPER_001-M-20140116","CPER.001.M.2.15.20140116","16S"
"CPER_001-M-20140116","CPER.001.M.26.39.20140116","16S"
"CPER_001-M-20140116",NA,"MG"
"CPER_001-M-20130701","CPER.001.M.22.2.20130701","16S"
"CPER_001-M-20130701","CPER.001.M.25.38.20130701","16S"
"CPER_001-M-20130701","CPER.001.M.9.26.20130701","16S"
"CPER_001-M-20130701",NA,"MG"
"CPER_001-M-20131024","CPER.001.M.27.6.20131024","16S"
"CPER_001-M-20131024","CPER.001.M.38.38.20131024","16S"
"CPER_001-M-20131024","CPER.001.M.9.33.20131024","16S"
"CPER_001-M-20131024",NA,"MG"
"CPER_002-M-20140117","CPER.002.M.14.37.20140117","16S"
"CPER_002-M-20140117","CPER.002.M.34.0.20140117","16S"
"CPER_002-M-20140117","CPER.002.M.38.30.20140117","16S"
"CPER_002-M-20140117",NA,"MG"
"CPER_002-M-20130701","CPER.002.M.22.37.20130701","16S"
"CPER_002-M-20130701","CPER.002.M.36.5.20130701","16S"
"CPER_002-M-20130701","CPER.002.M.9.22.20130701","16S"
"CPER_002-M-20130701","Composite","MG"
"CPER_002-M-20131024","CPER.002.M.36.20.20131024","16S"
"CPER_002-M-20131024","CPER.002.M.38.8.20131024","16S"
"CPER_002-M-20131024","CPER.002.M.6.21.20131024","16S"
"CPER_002-M-20131024","Composite","MG"
"CPER_002-M-20140117","CPER.002.M.14.37.20140117","16S"
"CPER_002-M-20140117","CPER.002.M.34.0.20140117","16S"
"CPER_002-M-20140117","CPER.002.M.38.30.20140117","16S"
"CPER_002-M-20140117","Composite","MG"
"CPER_002-M-20140415","CPER.002.M.14.32.20140415","16S"
"CPER_002-M-20140415","CPER.002.M.37.14.20140415","16S"
"CPER_002-M-20140415","CPER.002.M.9.11.20140415","16S"
"CPER_002-M-20140415","Composite","MG"
"CPER_002-M-20130701","CPER.002.M.22.37.20130701","16S"
"CPER_002-M-20130701","CPER.002.M.36.5.20130701","16S"
"CPER_002-M-20130701","CPER.002.M.9.22.20130701","16S"
"CPER_002-M-20130701",NA,"MG"
"CPER_002-M-20131024","CPER.002.M.36.20.20131024","16S"
"CPER_002-M-20131024","CPER.002.M.38.8.20131024","16S"
"CPER_002-M-20131024","CPER.002.M.6.21.20131024","16S"
"CPER_002-M-20131024",NA,"MG"
"CPER_003-M-20130701","CPER.003.M.1.21.20130701","16S"
"CPER_003-M-20130701","CPER.003.M.22.33.20130701","16S"
"CPER_003-M-20130701","CPER.003.M.3.10.20130701","16S"
"CPER_003-M-20130701","Composite","MG"
"CPER_003-M-20140116","CPER.003.M.20.33.20140116","16S"
"CPER_003-M-20140116","CPER.003.M.40.2.20140116","16S"
"CPER_003-M-20140116","CPER.003.M.7.21.20140116","16S"
"CPER_003-M-20140116","Composite","MG"
"CPER_003-M-20140415","CPER.003.M.0.1.20140415","16S"
"CPER_003-M-20140415","CPER.003.M.0.37.20140415","16S"
"CPER_003-M-20140415","CPER.003.M.35.15.20140415","16S"
"CPER_003-M-20140415","Composite","MG"
"CPER_003-M-20140716","CPER.003.21.M.1.7.20140716","16S"
"CPER_003-M-20140716","CPER.003.39.M.3.26.20140716","16S"
"CPER_003-M-20140716","CPER.003.23.M.33.0.20140716","16S"
"CPER_003-M-20140716","Composite","MG"
"CPER_003-M-20130701","CPER.003.M.1.21.20130701","16S"
"CPER_003-M-20130701","CPER.003.M.22.33.20130701","16S"
"CPER_003-M-20130701","CPER.003.M.3.10.20130701","16S"
"CPER_003-M-20130701",NA,"MG"
"CPER_003-M-20140415","CPER.003.M.0.1.20140415","16S"
"CPER_003-M-20140415","CPER.003.M.0.37.20140415","16S"
"CPER_003-M-20140415","CPER.003.M.35.15.20140415","16S"
"CPER_003-M-20140415",NA,"MG"
"CPER_003-M-20140116","CPER.003.M.20.33.20140116","16S"
"CPER_003-M-20140116","CPER.003.M.40.2.20140116","16S"
"CPER_003-M-20140116","CPER.003.M.7.21.20140116","16S"
"CPER_003-M-20140116",NA,"MG"
"CPER_004-M-20140117","CPER.004.M.30.18.20140117","16S"
"CPER_004-M-20140117",NA,"MG"
"CPER_004-M-20130701","CPER.004.M.16.35.20130701","16S"
"CPER_004-M-20130701","CPER.004.M.34.37.20130701","16S"
"CPER_004-M-20130701","CPER.004.M.5.35.20130701","16S"
"CPER_004-M-20130701","Composite","MG"
"CPER_004-M-20140117","CPER.004.M.30.18.20140117","16S"
"CPER_004-M-20140117","Composite","MG"
"CPER_004-M-20140415","CPER.004.M.23.35.20140415","16S"
"CPER_004-M-20140415","CPER.004.M.39.15.20140415","16S"
"CPER_004-M-20140415","CPER.004.M.5.17.20140415","16S"
"CPER_004-M-20140415","Composite","MG"
"CPER_004-M-20140715","CPER.004.41.M.20.40.20140715","16S"
"CPER_004-M-20140715","CPER.004.41.M.21.38.20140715","16S"
"CPER_004-M-20140715","CPER.004.23.M.33.4.20140715","16S"
"CPER_004-M-20140715","Composite","MG"
"CPER_004-M-20130701","CPER.004.M.16.35.20130701","16S"
"CPER_004-M-20130701","CPER.004.M.34.37.20130701","16S"
"CPER_004-M-20130701","CPER.004.M.5.35.20130701","16S"
"CPER_004-M-20130701",NA,"MG"
"CPER_046-M-20140716","CPER.046.39.M.19.30.20140716","16S"
"CPER_046-M-20140716","CPER.046.23.M.23.8.20140716","16S"
"CPER_046-M-20140716","CPER.046.23.M.31.3.20140716","16S"
"CPER_046-M-20140716","Composite","MG"
"CPER_046-M-20140416",NA,"MG"
"DSNY_009-M-20140327","DSNY.009.21.M.14.10.20140327","16S"
"DSNY_009-M-20140327","DSNY.009.23.M.37.16.20140327","16S"
"DSNY_009-M-20140327","Composite","MG"
"DSNY_009-M-20140409","DSNY.009.41.M.31.23.20140409","16S"
"DSNY_009-M-20140409","DSNY.009.23.M.33.14.20140409","16S"
"DSNY_009-M-20140409","DSNY.009.21.M.6.12.20140409","16S"
"DSNY_009-M-20140409","Composite","MG"
"DSNY_009-M-20140910","DSNY.009.21.M.15.7.20140910","16S"
"DSNY_009-M-20140910","DSNY.009.23.M.33.11.20140910","16S"
"DSNY_009-M-20140910","DSNY.009.21.M.4.7.20140910","16S"
"DSNY_009-M-20140910","Composite","MG"
"DSNY_009-M-20140409","DSNY.009.41.M.31.23.20140409","16S"
"DSNY_009-M-20140409","DSNY.009.23.M.33.14.20140409","16S"
"DSNY_009-M-20140409","DSNY.009.21.M.6.12.20140409","16S"
"DSNY_009-M-20140409",NA,"MG"
"DSNY_009-M-20140327","DSNY.009.21.M.14.10.20140327","16S"
"DSNY_009-M-20140327","DSNY.009.23.M.37.16.20140327","16S"
"DSNY_009-M-20140327",NA,"MG"
"DSNY_009-M-20140910","DSNY.009.21.M.15.7.20140910","16S"
"DSNY_009-M-20140910","DSNY.009.23.M.33.11.20140910","16S"
"DSNY_009-M-20140910","DSNY.009.21.M.4.7.20140910","16S"
"DSNY_009-M-20140910",NA,"MG"
"DSNY_016-M-20140327","DSNY.016.21.M.12.3.20140327","16S"
"DSNY_016-M-20140327","DSNY.016.23.M.35.17.20140327","16S"
"DSNY_016-M-20140327","DSNY.016.41.M.35.37.20140327","16S"
"DSNY_016-M-20140327","Composite","MG"
"DSNY_016-M-20140410","DSNY.016.39.M.14.32.20140410","16S"
"DSNY_016-M-20140410","DSNY.016.23.M.37.14.20140410","16S"
"DSNY_016-M-20140410","DSNY.016.21.M.9.11.20140410","16S"
"DSNY_016-M-20140410","Composite","MG"
"DSNY_016-M-20140910","DSNY.016.39.M.0.30.20140910","16S"
"DSNY_016-M-20140910","DSNY.016.21.M.16.7.20140910","16S"
"DSNY_016-M-20140910","DSNY.016.23.M.23.38.20140910","16S"
"DSNY_016-M-20140910","Composite","MG"
"DSNY_016-M-20140910","DSNY.016.39.M.0.30.20140910","16S"
"DSNY_016-M-20140910","DSNY.016.21.M.16.7.20140910","16S"
"DSNY_016-M-20140910","DSNY.016.23.M.23.38.20140910","16S"
"DSNY_016-M-20140910",NA,"MG"
"DSNY_016-M-20140327","DSNY.016.21.M.12.3.20140327","16S"
"DSNY_016-M-20140327","DSNY.016.23.M.35.17.20140327","16S"
"DSNY_016-M-20140327","DSNY.016.41.M.35.37.20140327","16S"
"DSNY_016-M-20140327",NA,"MG"
"DSNY_016-M-20140410","DSNY.016.39.M.14.32.20140410","16S"
"DSNY_016-M-20140410","DSNY.016.23.M.37.14.20140410","16S"
"DSNY_016-M-20140410","DSNY.016.21.M.9.11.20140410","16S"
"DSNY_016-M-20140410",NA,"MG"
"DSNY_021-M-20140327","DSNY.021.21.M.1.2.20140327","16S"
"DSNY_021-M-20140327","DSNY.021.23.M.32.16.20140327","16S"
"DSNY_021-M-20140327","DSNY.021.41.M.32.28.20140327","16S"
"DSNY_021-M-20140327","Composite","MG"
"DSNY_025-M-20140327","DSNY.025.39.M.20.35.20140327","16S"
"DSNY_025-M-20140327","DSNY.025.23.M.25.7.20140327","16S"
"DSNY_025-M-20140327","DSNY.025.21.M.4.10.20140327","16S"
"DSNY_025-M-20140327","Composite","MG"
"DSNY_101-M-20130731","DSNY.101.23.M.22.2.20130731","16S"
"DSNY_101-M-20130731","DSNY.101.41.M.25.38.20130731","16S"
"DSNY_101-M-20130731","DSNY.101.39.M.9.26.20130731","16S"
"DSNY_101-M-20130731","Composite","MG"
"DSNY_101-M-20131114","DSNY.101.21.M.13.7.20131114","16S"
"DSNY_101-M-20131114","DSNY.101.41.M.35.29.20131114","16S"
"DSNY_101-M-20131114","DSNY.101.23.M.35.7.20131114","16S"
"DSNY_101-M-20131114","Composite","MG"
"DSNY_101-M-20131114","DSNY.101.21.M.13.7.20131114","16S"
"DSNY_101-M-20131114","DSNY.101.41.M.35.29.20131114","16S"
"DSNY_101-M-20131114","DSNY.101.23.M.35.7.20131114","16S"
"DSNY_101-M-20131114",NA,"MG"
"DSNY_101-M-20130731","DSNY.101.23.M.22.2.20130731","16S"
"DSNY_101-M-20130731","DSNY.101.41.M.25.38.20130731","16S"
"DSNY_101-M-20130731","DSNY.101.39.M.9.26.20130731","16S"
"DSNY_101-M-20130731",NA,"MG"
"DSNY_201-M-20130731","DSNY.201.41.M.22.37.20130731","16S"
"DSNY_201-M-20130731","DSNY.201.23.M.38.5.20130731","16S"
"DSNY_201-M-20130731","DSNY.201.39.M.6.30.20130731","16S"
"DSNY_201-M-20130731","Composite","MG"
"DSNY_201-M-20131114","DSNY.201.23.M.24.9.20131114","16S"
"DSNY_201-M-20131114","DSNY.201.41.M.31.27.20131114","16S"
"DSNY_201-M-20131114","DSNY.201.21.M.4.14.20131114","16S"
"DSNY_201-M-20131114","Composite","MG"
"DSNY_201-M-20131114","DSNY.201.23.M.24.9.20131114","16S"
"DSNY_201-M-20131114","DSNY.201.41.M.31.27.20131114","16S"
"DSNY_201-M-20131114","DSNY.201.21.M.4.14.20131114","16S"
"DSNY_201-M-20131114",NA,"MG"
"DSNY_201-M-20130731","DSNY.201.41.M.22.37.20130731","16S"
"DSNY_201-M-20130731","DSNY.201.23.M.38.5.20130731","16S"
"DSNY_201-M-20130731","DSNY.201.39.M.6.30.20130731","16S"
"DSNY_201-M-20130731",NA,"MG"
"DSNY_265-M-20130731","DSNY.265.39.M.1.21.20130731","16S"
"DSNY_265-M-20130731","DSNY.265.41.M.22.33.20130731","16S"
"DSNY_265-M-20130731","DSNY.265.21.M.3.10.20130731","16S"
"DSNY_265-M-20130731",NA,"MG"
"DSNY_265-M-20130731","DSNY.265.39.M.1.21.20130731","16S"
"DSNY_265-M-20130731","DSNY.265.41.M.22.33.20130731","16S"
"DSNY_265-M-20130731","DSNY.265.21.M.3.10.20130731","16S"
"DSNY_265-M-20130731","Composite","MG"
"DSNY_293-M-20130731","DSNY.293.39.M.16.35.20130731","16S"
"DSNY_293-M-20130731","DSNY.293.41.M.34.37.20130731","16S"
"DSNY_293-M-20130731","DSNY.293.21.M.5.35.20130731","16S"
"DSNY_293-M-20130731",NA,"MG"
"DSNY_293-M-20130731","DSNY.293.39.M.16.35.20130731","16S"
"DSNY_293-M-20130731","DSNY.293.41.M.34.37.20130731","16S"
"DSNY_293-M-20130731","DSNY.293.21.M.5.35.20130731","16S"
"DSNY_293-M-20130731","Composite","MG"
"HARV_001-M-20131122",NA,"MG"
"HARV_001-M-2013070","Composite","MG"
"HARV_001-M-20131122","Composite","MG"
"HARV_001-M-20130709","HARV.001.23.M.22.2.20130709","16S"
"HARV_001-M-20130709","HARV.001.50.M.25.38.20130709","16S"
"HARV_001-M-20130709",NA,"MG"
"HARV_001-O-20131122","Composite","MG"
"HARV_001-O-20130709","HARV.001.23.O.22.2.20130709","16S"
"HARV_001-O-20130709","HARV.001.50.O.25.38.20130709","16S"
"HARV_001-O-20130709",NA,"MG"
"HARV_001-O-20131122",NA,"MG"
"HARV_004-M-20130709","HARV.004.51.M.34.37.20130709","16S"
"HARV_004-M-20130709","HARV.004.48.M.5.35.20130709","16S"
"HARV_004-M-20130709","Composite","MG"
"HARV_004-M-20130709","HARV.004.51.M.34.37.20130709","16S"
"HARV_004-M-20130709","HARV.004.48.M.5.35.20130709","16S"
"HARV_004-M-20130709",NA,"MG"
"HARV_004-O-20131122","Composite","MG"
"HARV_004-O-20131122",NA,"MG"
"HARV_004-O-20130709","HARV.004.48.O.5.35.20130709","16S"
"HARV_004-O-20130709",NA,"MG"
"HARV_013-M-20130708","HARV.013.50.M.22.37.20130708","16S"
"HARV_013-M-20130708","HARV.013.24.M.38.5.20130708","16S"
"HARV_013-M-20130708","HARV.013.39.M.7.22.20130708","16S"
"HARV_013-M-20130708","Composite","MG"
"HARV_013-M-20130708","HARV.013.50.M.22.37.20130708","16S"
"HARV_013-M-20130708","HARV.013.24.M.38.5.20130708","16S"
"HARV_013-M-20130708","HARV.013.39.M.7.22.20130708","16S"
"HARV_013-M-20130708",NA,"MG"
"HARV_013-O-20131122","Composite","MG"
"HARV_013-O-20131122",NA,"MG"
"HARV_016-M-2013070","Composite","MG"
"HARV_016-M-20130708","HARV.016.50.M.22.33.20130708","16S"
"HARV_016-M-20130708",NA,"MG"
"HARV_016-O-20130709","HARV.016.21.1.1.O.20130709","16S"
"HARV_016-O-20130709","HARV.016.21.O.1.1.20130709","16S"
"HARV_016-O-20130709",NA,"MG"
"JERC_001-M-20140910","JERC.001.41.M.22.32.20140910","16S"
"JERC_001-M-20140910","JERC.001.41.M.30.37.20140910","16S"
"JERC_001-M-20140910","JERC.001.21.M.7.0.20140910","16S"
"JERC_001-M-20140910","Composite","MG"
"JERC_002-M-20140910","JERC.002.39.M.10.34.20140910","16S"
"JERC_002-M-20140910","JERC.002.23.M.25.6.20140910","16S"
"JERC_002-M-20140910","JERC.002.21.M.9.24.20140910","16S"
